"Variable","Level","Freq_Relativity","Sev_Relativity","PP_Relativity"
"drv_age_band","31-40",1,1,1
"drv_age_band","18-22",1.4069,1.2534,1.7635
"drv_age_band","23-26",0.9589,0.9912,0.9505
"drv_age_band","27-30",0.8442,1.0221,0.8629
"drv_age_band","41-50",1.3723,0.9857,1.3527
"drv_age_band","51-60",1.2876,0.9602,1.2364
"drv_age_band","61-70",1.2631,0.9518,1.2022
"drv_age_band","71+",1.3573,1.1113,1.5084
"veh_age_band","11+",1,1,1
"veh_age_band","0-1",2.0255,1.1631,2.3558
"veh_age_band","2-3",1.1474,1.1032,1.2658
"veh_age_band","4-6",1.2581,1.1214,1.4108
"veh_age_band","7-10",1.2651,1.0709,1.3549
"veh_power_band","6-7",1,1,1
"veh_power_band","4-5",0.947,0.9474,0.8972
"veh_power_band","8-9",0.9342,1.0075,0.9411
"veh_power_band","10-11",1.0449,1.013,1.0585
"veh_power_band","12+",0.8886,1.1216,0.9967
"bm_band","50-54",1,1,1
"bm_band","55-60",1.4949,1,1.4949
"bm_band","61-70",1.9727,1,1.9727
"bm_band","71-80",1.9228,1,1.9228
"bm_band","81-100",2.4942,1,2.4942
"bm_band","101-120",4.7743,1,4.7743
"bm_band","121-150",6.5519,1,6.5519
"bm_band","151+",8.7906,1,8.7906
"veh_fuel","Regular",1,1,1
"veh_fuel","Diesel",0.9311,1,0.9311
"area","C",1,1,1
"area","A",1,1.0579,1.0579
"area","B",1,1.0389,1.0389
"area","D",1,1.0424,1.0424
"area","E",1,1.0785,1.0785
"area","F",1,0.9201,0.9201
"density_band","Q4",1,1,1
"density_band","Q1 Rural",0.8258,1,0.8258
"density_band","Q2",0.8775,1,0.8775
"density_band","Q3",0.8963,1,0.8963
"density_band","Q5 Urban",1.0184,1,1.0184
"veh_brand","B12",1,1,1
"veh_brand","B1",0.8458,1,0.8458
"veh_brand","B10",0.8704,1,0.8704
"veh_brand","B11",0.9346,1,0.9346
"veh_brand","B13",0.8899,1,0.8899
"veh_brand","B14",0.7029,1,0.7029
"veh_brand","B2",0.8493,1,0.8493
"veh_brand","B3",0.8668,1,0.8668
"veh_brand","B4",0.8321,1,0.8321
"veh_brand","B5",0.9071,1,0.9071
"veh_brand","B6",0.8286,1,0.8286
"region","Centre",1,1,1
"region","Alsace",0.9165,0.9525,0.873
"region","Aquitaine",0.8679,1.0624,0.9221
"region","Auvergne",0.6961,0.9401,0.6544
"region","Basse-Normandie",0.9349,1.0508,0.9824
"region","Bourgogne",0.8955,0.9817,0.8791
"region","Bretagne",1.0177,1.0746,1.0936
"region","Champagne-Ardenne",1.1183,1.1544,1.2909
"region","Corse",0.9636,1.3578,1.3084
"region","Franche-Comte",1.0014,1.3135,1.3153
"region","Haute-Normandie",0.8861,1.0106,0.8955
"region","Ile-de-France",0.9282,1.0191,0.9459
"region","Languedoc-Roussillon",0.9135,1.1829,1.0806
"region","Limousin",1.0615,0.894,0.949
"region","Midi-Pyrenees",0.7675,0.9,0.6908
"region","Nord-Pas-de-Calais",0.7731,1.1199,0.8658
"region","Pays-de-la-Loire",0.9158,0.9791,0.8966
"region","Picardie",0.9599,1.1213,1.0763
"region","Poitou-Charentes",0.8825,1.0107,0.8919
"region","Provence-Alpes-Cotes-D'Azur",0.9296,1.2256,1.1393
"region","Rhone-Alpes",1.0066,1.0219,1.0286
