"model","Factor","Relativity","Std_Error","P_Value","CI_Lower","CI_Upper","T_Value"
"Severity(Gamma)","(Intercept)",1330.7887,0.0386,0,1233.9368,1435.2426,186.5924
"Severity(Gamma)","drv_age_band18-22",1.2534,0.0516,0,1.1327,1.3869,4.3734
"Severity(Gamma)","drv_age_band23-26",0.9912,0.0478,0.8538,0.9026,1.0886,-0.1843
"Severity(Gamma)","drv_age_band27-30",1.0221,0.0437,0.6168,0.9382,1.1136,0.5004
"Severity(Gamma)","drv_age_band41-50",0.9857,0.0299,0.6301,0.9297,1.0451,-0.4816
"Severity(Gamma)","drv_age_band51-60",0.9602,0.0318,0.202,0.9022,1.022,-1.2758
"Severity(Gamma)","drv_age_band61-70",0.9518,0.0407,0.2246,0.8789,1.0308,-1.2145
"Severity(Gamma)","drv_age_band71+",1.1113,0.0474,0.0258,1.0128,1.2194,2.2292
"Severity(Gamma)","veh_age_band0-1",1.1631,0.0348,0,1.0865,1.2451,4.3463
"Severity(Gamma)","veh_age_band2-3",1.1032,0.0331,0.003,1.034,1.1771,2.9704
"Severity(Gamma)","veh_age_band4-6",1.1214,0.0305,2e-04,1.0563,1.1905,3.7546
"Severity(Gamma)","veh_age_band7-10",1.0709,0.0286,0.0166,1.0125,1.1327,2.395
"Severity(Gamma)","veh_power_band4-5",0.9474,0.0233,0.0203,0.9052,0.9916,-2.3215
"Severity(Gamma)","veh_power_band8-9",1.0075,0.0348,0.8305,0.941,1.0786,0.214
"Severity(Gamma)","veh_power_band10-11",1.013,0.0414,0.7542,0.9341,1.0986,0.3131
"Severity(Gamma)","veh_power_band12+",1.1216,0.0677,0.0901,0.9822,1.2807,1.6948
"Severity(Gamma)","areaA",1.0579,0.0362,0.1201,0.9854,1.1356,1.5543
"Severity(Gamma)","areaB",1.0389,0.038,0.3153,0.9643,1.1193,1.0042
"Severity(Gamma)","areaD",1.0424,0.0292,0.1545,0.9845,1.1037,1.4237
"Severity(Gamma)","areaE",1.0785,0.0308,0.0142,1.0153,1.1457,2.4527
"Severity(Gamma)","areaF",0.9201,0.0748,0.2652,0.7946,1.0653,-1.1142
"Severity(Gamma)","regionAlsace",0.9525,0.1826,0.7898,0.6659,1.3624,-0.2666
"Severity(Gamma)","regionAquitaine",1.0624,0.0553,0.2737,0.9533,1.184,1.0946
"Severity(Gamma)","regionAuvergne",0.9401,0.1421,0.6639,0.7115,1.2421,-0.4346
"Severity(Gamma)","regionBasse-Normandie",1.0508,0.0799,0.5353,0.8984,1.229,0.62
"Severity(Gamma)","regionBourgogne",0.9817,0.095,0.8458,0.8149,1.1826,-0.1944
"Severity(Gamma)","regionBretagne",1.0746,0.0445,0.1059,0.9849,1.1725,1.6171
"Severity(Gamma)","regionChampagne-Ardenne",1.1544,0.1888,0.447,0.7973,1.6713,0.7604
"Severity(Gamma)","regionCorse",1.3578,0.1544,0.0477,1.0032,1.8378,1.9804
"Severity(Gamma)","regionFranche-Comte",1.3135,0.2546,0.2841,0.7975,2.1635,1.0712
"Severity(Gamma)","regionHaute-Normandie",1.0106,0.116,0.9277,0.8051,1.2685,0.0907
"Severity(Gamma)","regionIle-de-France",1.0191,0.0475,0.6909,0.9285,1.1185,0.3977
"Severity(Gamma)","regionLanguedoc-Roussillon",1.1829,0.0552,0.0023,1.0616,1.318,3.0425
"Severity(Gamma)","regionLimousin",0.894,0.123,0.3623,0.7025,1.1377,-0.911
"Severity(Gamma)","regionMidi-Pyrenees",0.9,0.0928,0.2565,0.7503,1.0796,-1.1347
"Severity(Gamma)","regionNord-Pas-de-Calais",1.1199,0.0508,0.0257,1.0138,1.237,2.2306
"Severity(Gamma)","regionPays-de-la-Loire",0.9791,0.0471,0.6535,0.8927,1.0738,-0.449
"Severity(Gamma)","regionPicardie",1.1213,0.0985,0.2454,0.9243,1.3602,1.1617
"Severity(Gamma)","regionPoitou-Charentes",1.0107,0.0626,0.8655,0.894,1.1426,0.1694
"Severity(Gamma)","regionProvence-Alpes-Cotes-D'Azur",1.2256,0.0393,0,1.1347,1.3237,5.1752
"Severity(Gamma)","regionRhone-Alpes",1.0219,0.0346,0.5326,0.9548,1.0936,0.6241
